polish,english,other,type
wpisać,to enter (content) (once),,perf verb
wpisywać,to enter (content) (repeated),,verb
wprawa,proficiency/skill,,f noun
wprawdzie,admittedly,,adverb
wprost,straight ahead,,adverb
wprowadzać,to let/bring/show in (repeated),,verb
wprowadzić,to let/bring/show in (once),,perf verb
wpuszczać,to let in (repeated),,verb
wpuścić,to let in (once),,perf verb
wpłata,payment (pay-in),,f noun
wpłynąć,to influence (once),,perf verb
wpływ,influence,Nie ma wpływu,m noun
wpływać,to influence (repeated),,verb
wrabiać,to frame (repeated),,verb
wracać,to return (repeated),,verb
wrak,wreck,Nie ma wraku,m noun
wraz z kimś/czymś,along with somebody/something,,adverb
wrażenie,impression,Zrobiła na mnie wrażenie (She impressed me),n noun
wrażliwość,sensitivity,,f noun
wrażliwy,sensitive,,adjective
wrobić,to frame (once),,perf verb
wrona,crow,,f noun
wrzask,scream/squawk,Nie ma wrzasku,m noun
wrzasnąć,to scream (once),,perf verb
wrzawa,uproar,,f noun
wrzesień,September,,m noun
wrzesz (wrzeć),You will boil,,conjugation
wrzeszczeć,to scream (repeated),,verb
wrzeć,to boil (repeated),,verb
wrzos,heather,Nie ma wrzosu,m noun
wrzosowisko,moor/heath,,n noun
wróbel,sparrow,Strach na wróble,m noun
wrócisz (wrócić),You will return,,conjugation
wrócić,to return (once),,perf verb
wrócę (wrócić),I will return,,conjugation
wróg,enemy,Nie mam żadnych wrogów (I have no enemies),m noun
wróć (wrócić),Return! (once),,imperative
wróżka,fairy or fortune-teller,,f noun
wrę (wrzeć),I will boil,,conjugation
wręczanie,presentation (i.e. a handing over of),,n noun
wręczać,to award/hand (repeated),,verb
wręczyć,to award/hand (once),,perf verb
wsadzać,to put away/into (repeated),,verb
wsadzić,to put away/into (once),,perf verb
wschodzić,to rise (repeated),,verb
wschód,east,Na wschodzie (Eastwards),m noun
wsiadać,to embark/board (repeated),,verb
wsiąść,to embark/board (once),,perf verb
wskazać,to indicate/suggest (once),,perf verb
wskazywać,to indicate/suggest (repeated),,verb
wskazówka,pointer,,f noun
wskaźnik,indicator/rate/pointer/guage,Wskaźnik urodzeń,m noun
wskroś,through,,adverb
wsparcie,support,,n noun
wspierać,to support (repeated),,verb
wspomagać kogoś czymś,to assist somebody with something (repeated),,verb
wspominać,to recollect/remember (repeated),,verb
wspomnienie,memory/recollection,,n noun
wspomnieć,to recollect/remember (once),,perf verb
wspomóc kogoś czymś,to assist somebody with something (once),,perf verb
wspólnota,community or joint property,,f noun
wspólny,common/shared,Wspólne cele (Common goals),adjective
współczesny,contemporary/current,,adjective
współczucie,sympathy/compassion,,n noun
współpraca,cooperation/collaboration,,f noun
współpracować,to cooperate/collaborate,,verb
współżycie,co-existence,,n noun
wstawać,to get up (repeated),,verb
wstawiać,to put/insert/replace (repeated),,verb
wstawić,to put/insert/replace (once),,perf verb
wstać,to get up (once),,perf verb
wstrzykiwać coś komuś,to inject somebody with something (repeated),,verb
wstrzyknąć coś komuś,to inject somebody with something (once),,perf verb
wstrząs,shock,Nie ma wstrząsu,m noun
wstręt,repulsion/revulsion,Nie ma wstrętu,m noun
wstrętny,revolting/disgusting,,adjective
wstążka,hair ribbon,,f noun
wstęp,access,Nie ma wstępu,m noun
wsunąć,to slip (e.g. hands) (once),Wsunąć ręce do kieszeni,perf verb
wsuwać,to slip (e.g. hands) (repeated),,verb
wszczynać,to instigate (repeated),,verb
wszcząć,to instigate (once),,perf verb
wszechstronny,versatile/comprehensive,,adjective
wszechświat,(the) universe,,m noun
wszelki,every/all possible,,adjective
wszerz,across,,adverb
wsławiać się,to get famous (repeated),,verb
wsławić się,to get famous (once),,perf verb
wtaczać,to roll (repeated),,verb
wtajemniczony,in-the-know,,adjective
wtoczyć,to roll (once),,perf verb
wtór,accompaniment,Do wtóru czegós,m noun
wybaczać,to forgive (repeated),,verb
wybaczyć,to forgive (once),,perf verb
wybierać,to choose/select/pick (repeated),,verb
wybijać,to strike (repeated),,verb
wybijesz (wybić),You will strike,,conjugation
wybiję (wybić),I will strike,,conjugation
wybitny,outstanding/eminent/prominent,,adjective
wybić,to strike (once),,perf verb
wybrany,chosen,,adjective
wybrać,to choose/select/pick (once),,perf verb
wybredny,choosy/picky,,adjective
wybrzeże,coast,,n noun
wybuch,explosion/eruption/outbreak,,m noun
wybuchać,to explode/erupt (repeated),,verb
wybuchnąć,to explode/erupt (once),,perf verb
wycelować,to aim (once),,perf verb
wychodzić,to leave (on foot) (repeated),,verb
wychować,to raise (e.g. children) (once),,perf verb
wychowywać,to raise (e.g. children) (repeated),,verb
wychudzony,gaunt/emaciated,,adjective
wychładzać,to cool down (repeated),,verb
wychłodzić,to cool down (once),,perf verb
wycieraczka,doormat/wiper,,f noun
wycieraj (wycierać),Wipe! (repeated),,imperative
wycieram (wycierać),I am wiping,,conjugation
wycierasz (wycierać),You are wiping,,conjugation
wycierać,to wipe (repeated),,verb
wycieńczać,to emaciate (repeated),,verb
wycieńczyć,to emaciate (once),,perf verb
wycinać,to cut out (repeated),,verb
wyciągać,to pull out or to stretch (repeated),,verb
wyciągnąć,to pull out or to stretch (once),,perf verb
wyciąć,to cut out (once),,perf verb
wyczarować,to conjure up (once),,perf verb
wyczarowywać,to conjure up (repeated),,verb
wyczerpać,to exhaust (once),,perf verb
wyczerpiesz (wyczerpać),You will exhaust,,conjugation
wyczerpię (wyczerpać),I will exhaust,,conjugation
wyczerpywać,to exhaust (repeated),,verb
wyczuwać,to detect/sense (repeated),,verb
wyczuć,to detect/sense (once),,perf verb
wyczyn,achievement,Nie ma wyczynu,m noun
wyczyścić,to clean/brush (once),,perf verb
wydajny,efficient,,adjective
wydanie,edition/publication/issue,,n noun
wydarzenie,event,,n noun
wydatek,expense,Nie ma wydatku,m noun
wydatny,prominent/considerable,,adjective
wydobywać,to extract/mine (repeated),,verb
wydobyć,to extract/mine (once),,perf verb
wydostawać się,to get out (repeated),,verb
wydostać się,to get out (once),,perf verb
wydrukować,to print (once),,perf verb
wydłużać,to lengthen (repeated),,verb
wydłużyć,to lengthen (once),,perf verb
wyganiać,to chase off/out (repeated),,verb
wygoda,convenience/comfort,,f noun
wygonić,to chase off/out (once),,perf verb
wygrać,to win (once),,perf verb
wygrywać,to win (repeated),,verb
wygrzebać,to unearth or dig out (once),,perf verb
wygrzebywać,to unearth or dig out (repeated),,verb
wygładzać,to smooth out (repeated),,verb
wygładzić,to smooth out (once),,perf verb
wyhodować,to grow/breed/raise (once),,perf verb
wyjazd,trip or slip road (exit),Nie ma wyjazdu,m noun
wyjaśniać,to explain (repeated),,verb
wyjaśnienie,explanation,,n noun
wyjaśnić,to explain (once),,perf verb
wyjmować,to take out (repeated),,verb
wyjątek,exception,,m noun
wyjątkowy,exceptional,,adjective
wyjąć,to take out (once),,perf verb
wyjście,exit,,n noun
wyjść,to leave (on foot) (once),,perf verb
wyjść za mąż,to get married (to a man),,phrase
wykazać,to show/exhibit (once),,perf verb
wykazywać,to show/exhibit (repeated),,verb
wykałaczka,toothpick,,f noun
wykluczać,to rule out or to exclude (repeated),,verb
wykluczyć,to rule out or to exclude (once),,perf verb
wykonawczy,executive,,adjective
wykonać,to carry out or execute (once),,perf verb
wykonywanie,execution,Czy wykonywanie tej pracy wymaga studiów lub praktyki?,n noun
wykonywać,to carry out or execute (repeated),,verb
wykorzystać,"to make use of, to take advantage of (once)",,perf verb
wykorzystywać,"to make use of, to take advantage of (repeated)",,verb
wykraczać poza coś,to exceed something (repeated),,verb
wykreślić,to trace/plot/sketch (once),,perf verb
wykroczyć poza coś,to exceed something (once),,perf verb
wykrywać,to detect (repeated),,verb
wykryć,to detect (once),,perf verb
wykrzykiwać,to shout out (repeated),,verb
wykrzyknąć,to shout out (once),,perf verb
wykręt,dodge/evasion/excuse,Nie ma wykrętu,m noun
wykształcenie,education,,n noun
wykształcony,educated,,adjective
wykładowca,lecturer,,m noun
wykładzina,floor-covering,,f noun
wylansować,to promote/launch (once),,perf verb
wylać,to pour out (once),,perf verb
wyleczyć,to treat/cure/heal (once),,perf verb
wylewać,to pour out (repeated),,verb
wylosować,to draw (e.g. a card) (once),,perf verb
wylądować,to land (once),,perf verb
wymagający,demanding,,adjective
wymaganie,requirement/demand,,n noun
wymagać,to need/require/demand,,verb
wymarzony,ideal/dream,,adjective
wymawiać,to pronounce/utter (repeated),,verb
wymiana,exchange/interchange,,f noun
wymieniony,mentioned,,adjective
wymieszać,to mix (once),,perf verb
wymiotować,to vomit (repeated),,verb
wymknąć się,to slip out (once),,perf verb
wymuszony,forced/strained,,adjective
wymykać się,to slip out (repeated),,verb
wymyślać,to invent (repeated),,verb
wymyślić,to invent (once),,perf verb
wymyślny,fancy/sophisticated,,adjective
wymówić,to pronounce/utter (once),,perf verb
wynagrodzenie,salary/remuneration,,n noun
wynajdywać,to invent/devise (repeated),,verb
wynajem,renting/hiring/leasing,Nie ma wynajmu,m noun
wynajmiesz (wynająć),You will hire,,conjugation
wynajmować,to hire (repeated),,verb
wynajmę (wynająć),I will hire,,conjugation
wynająć,to hire (once),,perf verb
wynalazek,invention,Nie ma wynalazku,m noun
wynaleźć,to invent/devise (once),,perf verb
wynegocjować,to negotiate (once),,perf verb
wynik,result,,m noun
wynikać,to result (repeated),,verb
wyniknąć,to result (once),,perf verb
wyniosły,haughty,,adjective
wynurzać się,to emerge (repeated),,verb
wynurzyć się,to emerge (once),,perf verb
wyobcowanie,alienation,,n noun
wyobrazić sobie,to imagine (once),,perf verb
wyobraźnia,imagination,Użyj wyobraźni! (Use your imagination!),f noun
wyobrażać sobie,to imagine (repeated),,verb
wypadek,"accident (as in, crash)",,m noun
wypatroszyć,to gut (once),,perf verb
wypatrywać się w coś,to stare/gaze at something (repeated),,verb
wypatrzyć się w coś,to stare/gaze at something (once),,perf verb
wypchnąć,to push out (once),,perf verb
wypierać,to displace/oust (repeated),,verb
wyplujesz (wypluć),You will spit out,,conjugation
wypluję (wypluć),I will spit out,,conjugation
wypluwać,to spit out (repeated),,verb
wypluć,to spit out (once),,perf verb
wypoczynek,leisure/rest,Nie ma wypoczynku,m noun
wypoczęty,rested,,adjective
wyposażać,to equip (repeated),,verb
wyposażony,equipped I,,adjective
wyposażyć,to equip (once),,perf verb
wypowiadać,"to express verbally, to give voice to (repeated)",,verb
wypowiedzieć,"to express verbally, to give voice to (once)",,perf verb
wypowiedź,statement,,f noun
wypracować,to develop (once),,perf verb
wypracowywać,to develop (repeated),,verb
wyprasować,to press/iron (once),,perf verb
wyprawa,expedition,,f noun
wyprać,to launder (once),,perf verb
wyprostować,to straighten (out) (once),,perf verb
wyprowadzać się,to move out (repeated),,verb
wyprowadzić się,to move out (once),,perf verb
wyprzedaż,clearance sale,,m noun
wyprzeć,to displace/oust (once),,perf verb
wypukłość,protrusion/convexity,,f noun
wypuszczać,to release (repeated),,verb
wypuszczę (wypuścić),I will release,,conjugation
wypuścisz (wypuścić),You will release,,conjugation
wypuścić,to release (once),,perf verb
wypychać,to push out (repeated),,verb
wypytać,to quiz/question (once),,perf verb
wypytujesz (wypytywać),You are quizzing,,conjugation
wypytuję (wypytywać),I am quizzing,,conjugation
wypytywać,to quiz/question (repeated),,verb
wypłata,payment (payout),,f noun
wypłowieć,to fade/bleach (once),,perf verb
wypłynąć,to set sail or to surface (once),,perf verb
wypływać,to set sail or to surface (repeated),,verb
wyrabiać,to produce/develop/manufacture (repeated),,verb
wyrafinowany,sophisticated/refined,,adjective
wyraz,word,,m noun
wyrazistość,expressiveness,,f noun
wyrazić,to express (once),,perf verb
wyraźny,clear/distinct,,adjective
wyrażanie,expressing,,n noun
wyrażać,to express (repeated),,verb
wyrobić,to produce/develop/manufacture (once),,perf verb
wyroić się,to swarm (once),,perf verb
wyrok,verdict/sentence,Nie ma wyroku,m noun
wyruszać,to set out/off (repeated),,verb
wyruszyć,to set out/off (once),,perf verb
wyrwać,to pull out (once),,perf verb
wyrywać,to pull out (repeated),,verb
wyrzec się czegoś,to renounce something (once),,perf verb
wyrzekać się czegoś,to renounce something (repeated),,verb
wyrzut,reproach/throw,Nie ma wyrzutu,m noun
wyróżniać,to single out (repeated),,verb
wyróżnienie,award or honourable mention,,n noun
wyróżnić,to single out (once),,perf verb
wysadzać,to disembark (repeated),,verb
wysadzić,to disembark (once),,perf verb
wyschnąć,to dry up (once),,perf verb
wysilać się,to make an effort (repeated),,verb
wysilić się,to make an effort (once),,perf verb
wysiłek,effort,Nie ma wysiłku,m noun
wysokość,height,,f noun
wyspać się,to sleep well (once),,perf verb
wyspowiadać,to confess (once),,perf verb
wyssać,to suck (once),,perf verb
wystający,protruding/projecting,,adjective
wystawa,exhibition/show,,f noun
wystawny,sumptuous,,adjective
wystrugać,to carve (once),,perf verb
wystrój,decoration,Nie ma wystroju,m noun
wystąpić,to stand out (once),,perf verb
występ,show/performance,Nie ma występu,m noun
występować,to stand out (repeated),,verb
wysuszyć,to dry (once),,perf verb
wysychać,to dry up (repeated),,verb
wysypiać się,to sleep well (repeated),,verb
wysysać,to suck (repeated),,verb
wysyłać,to send (repeated),,verb
wyszaleć się,"to let off steam, to have fun",,verb
wyszczotkować,to brush (once),,perf verb
wyszorować,to scrub (once),,perf verb
wyszukiwarka,search engine,,f noun
wysączyć,to sip (a drink) (once),,perf verb
wysłać,to send (once),,perf verb
wysłużony,well-worn,,adjective
wytknąć,to point out (once),,perf verb
wytrwać,to persevere,,verb
wytrwałość,perseverance,,f noun
wytrych,skeleton key,Nie ma wytrychu,m noun
wytryskiwać,to spurt (repeated),,verb
wytrysnąć,to spurt (once),,perf verb
wytrzesz (wytrzeć),You will wipe,,conjugation
wytrzeszczać oczy,to goggle (repeated),,verb
wytrzeszczyć oczy,to goggle (once),,perf verb
wytrzeć,to wipe (once),,perf verb
wytrzyj (wytrzeć),Wipe! (once),,conjugation
wytrzymać,to endure/withstand (once),,verb
wytrzymywać,to endure/withstand (repeated),,verb
wytrę (wytrzeć),I will wipe,,conjugation
wytwarzanie,production,,n noun
wytwarzać,to produce/generate (repeated),,verb
wytworny,elegant,,adjective
wytworzyć,to produce/generate (once),,perf verb
wytyczać,to mark out (repeated),,verb
wytyczyć,to mark out (once),,perf verb
wytykać,to point out (repeated),,verb
wytłumaczyć,to explain/translate/interpret (once),,perf verb
wywar,(cooking) stock,Nie ma wywaru,m noun
wyważać,to force open (repeated),,verb
wyważyć,to force open (once),,perf verb
wywiad,(an) interview (with the media),,m noun
wywiercić,to drill (once),,perf verb
wywiązać,"to set in, to ensue (once)",,perf verb
wywiązywać,"to set in, to ensue (repeated)",,verb
wywiążesz (wywiązać),You will set in,,conjugation
wywiążę (wywiązać),I will set in,,conjugation
wywołać,to elicit/invoke/induce (once),,perf verb
wywoływać,to elicit/invoke/induce (repeated),,verb
wyzdrowieć,to recuperate (once),,perf verb
wyznaczać,to appoint/designate (repeated),,verb
wyznaczyć,to appoint/designate (once),,perf verb
wyznanie,declaration,,n noun
wyznawać,to confide/confess/profess (repeated),,verb
wyznać,to confide/confess/profess (once),,perf verb
wyzwanie,challenge,,n noun
wyzwisko,insult,,n noun
wyzwolenie,liberation/release/emancipation,,n noun
wyć,to howl/wail (repeated),,verb
wyćwiczyć,to exercise (once),,perf verb
wyłaniać,to appoint (repeated),,verb
wyłonić,to appoint (once),,perf verb
wyłączać,to turn off (repeated),,verb
wyłączenie,exclusion/cut-off,,n noun
wyłącznie,solely/uniquely/exclusively,,adverb
wyłączność,exclusiveness/exclusivity,,f noun
wyłączyć,to turn off (once),,perf verb
wyścig,race,,m noun
wyślesz (wysłać),You will send,,conjugation
wyślę (wysłać),I will send,,conjugation
wyśmienity,delicious,,adjective
wyświetlacz,(a) display,,m noun
wyświetlać,to screen (a film) (repeated),,verb
wyświetlić,to screen (a film) (once),,perf verb
wyższy,higher,,adjective
wzajemnie,"mutually, reciprocally",,adverb
wzbierać,to rise/swell (repeated),,verb
wzbudzać,to whip/stir up (repeated),,verb
wzbudzić,to whip/stir up (once),,perf verb
wzdychać,to sigh (repeated),,verb
wzdłuż,along/longways,,preposition
wzejść,to rise (once),,perf verb
wzgląd,respect/regard,Nie ma względu,m noun
wzgórze,hill I,,n noun
wzięty,popular,,adjective
wzloty i upadki,ups and downs,,phrase
wzmacniać,to strengthen (repeated),,verb
wzmianka,reference,,f noun
wzmocnić,to strengthen (once),,perf verb
wzniesienie,elevation,,n noun
wznieść,to lift/raise (once),,perf verb
wznosić,to lift/raise (repeated),,verb
wzorcowy,model/benchmark,,adjective
wzornictwo,design,,n noun
wzrastać,to rise/grow/increase (repeated),,verb
wzrok,eyesight/vision,Nie ma wzroku,m noun
wzrokowiec,vizualizer,,m noun
wzrosnąć,to rise/grow/increase (once),,perf verb
wzrost,growth/height,Nie ma wzrostu,m noun
wzruszać,to move/touch (repeated),,verb
wzruszenie,emotion,,n noun
wzruszyć,to move/touch (once),,perf verb
wzywać,to summon (repeated),,verb
wzór,pattern,,m noun
wódz,leader/chief/chieftain,,m noun
wówczas,then,,adverb
wóz,cart/wagon,Nie ma wozu,m noun
wóź (wozić),Transport/drive!,,imperative
wąchać,to smell/sniff (repeated),,verb
wąski,narrow,,adjective
wątek,plot/thread,Nie ma wątku,m noun
wątpić,to doubt,Wątpię że będzie to robić (I doubt he'll do it),verb
wątpliwość,doubt,,f noun
wąwóz,gorge/ravine,Nie ma wąwozu,m noun
wędka,fishing rod,,f noun
wędrować,to roam/ramble/trek/hike,,verb
wędrówka,hike/trek,,f noun
węgiel,coal,Nie ma węgielu,m noun
władczy,domineering,,adjective
władza,power/authority,,f noun
włamać się,to break into (once),,perf verb
włamiesz się (włamać się),You will break into,,conjugation
włamię się (włamać się),I will break into,,conjugation
włamywacz,burglar,,m noun
włamywać się,to break into (repeated),,verb
własność,possession/property,,f noun
właściciel,owner,,m noun
właściwie,exactly/actually/basically,,adverb
właściwy,correct/proper/right/appropriate,,adjective
włochaty,hairy/furry,,adjective
włoszczyzna,soup vegetables,,f noun
włożyć,to put/place (once),,perf verb
włóczyć się,to galavant/roam,,verb
włókienniczy,textile,,adjective
włączać,to turn on (repeated),,verb
włączyć,to turn on (once),,perf verb
wścibski,nosy,,adjective
wściekły,furious I,,adjective
wślizgiwać się,to creep into (repeated),,verb
wślizgnąć się,to creep into (once),,perf verb
wśród,among,,preposition
z namaszczeniem,with solemnity,,phrase
z zawodu,by profession,Kim pani jest z zawodu?,phrase
za,behind,Przeszłość jest za nami,preposition
za pomocą,using (with the help of),,preposition
zaangażowany,committed,,adjective
zaangażować się,to involve oneself in (once),Oboje zaangażowali się w działalność opozycyjną,perf verb
zaapelować,to appeal (once),,perf verb
zabawa,fun,,f noun
zabezpieczać,to protect/guard (repeated),,verb
zabezpieczyć,to protect/guard (once),,perf verb
zabieg,operation/procedure,Nie ma zabiegu,m noun
zabiegać o coś,to strive for something,,verb
zabierać,to take away (repeated),,verb
zabijać,to kill (repeated),,verb
zabić,to kill (once),,perf verb
zabraknąć,to run short of,Zabrakło nam pieniędzy,verb
zabraniać,to forbid (repeated),,verb
zabrać,to take away (once),,perf verb
zabronić,to forbid (once),,perf verb
zabrzmieć,to sound (once),Aby nie zabrzmiały fałszywie,perf verb
zabrzęczeć,to clink/chink (once),,perf verb
zaburzać,to upset/disturb (repeated),,verb
zaburzenia umysłowe/psychiczne,mental/psychological disorders,,phrase
zaburzyć,to upset/disturb (once),,perf verb
zabytek,monument,Nie ma zabytku,m noun
zabytkowy,antique/vintage,,adjective
zabójca,killer,,m noun
zabór,annexation,Nie ma zaboru,m noun
zachodzić,to go behind (repeated),,verb
zachowanie,behaviour,,n noun
zachować,to preserve/retain/keep (once),,perf verb
zachowywać,to preserve/retain/keep (repeated),,verb
zachrypnięty,hoarse I,,adjective
zachrzęścić,to crunch (once),,perf verb
zachwycać się,to enthuse/marvel (repeated),,verb
zachwycić się,to enthuse/marvel (once),,perf verb
zachwycony,enraptured/delighted,,adjective
zachód,west,Na zachodzie (Westwards),m noun
zachęcający,inviting/tempting,,adjective
zachęcać,to coax/encourage (repeated),,verb
zachęcić,to coax/encourage (once),,perf verb
zachęta,incentive,,f noun
zachłanność,greed,,f noun
zaciekawiać się czymś,to be intrigued with something (repeated),,verb
zaciekawiony,intrigued,,adjective
zaciekawić się czymś,to be intrigued with something (once),,perf verb
zaciekły,fierce/ferocious,,adjective
zaciskać,to tighten (repeated),,verb
zacisnąć,to tighten (once),,perf verb
zacisze,refuge/retreat/shelter,,n noun
zaciszny,snug/sheltered/quiet/secluded,,adjective
zacny,respectable/upright,,adjective
zacumować,to moor (once),,perf verb
zaczaić się,to lurk II (once),,perf verb
zaczniesz (zacząć),You will start,,conjugation
zacznij (zacząć),Start! (once),,imperative
zacznę (zacząć),I will start,,conjugation
zaczynać,to start/begin (repeated),,verb
zacząć,to start/begin (once),,perf verb
zadanie,job/task,,n noun
zadawać,to pose/set (repeated),,verb
zadać,to pose/set (once),,perf verb
zadbać,to care (for) (once),,perf verb
zadowalać,to satisfy I (repeated),,verb
zadowolić,to satisfy I (once),,perf verb
zadrapanie,scratch,,n noun
zadrwić,to mock/scoff/jeer I (once),,perf verb
zadrżeć,to shiver (once),,verb
zaduch,stuffy air,Nie ma zaduchu,m noun
zadumać się nad czymś,to be engrossed in thought over something,,verb
zadymiony,smoky,,adjective
zadziwiający,astonishing,,adjective
zadąć,to blow (once),,perf verb
zagadać,to chat up (once),,perf verb
zagadka,puzzle/riddle,,f noun
zagadywać,to chat up (repeated),,verb
zagarniać,to pocket/seize (repeated),,verb
zagarnąć,to pocket/seize (once),,perf verb
zaginiony,missing II,,adjective
zaglądać,to look into (repeated),,verb
zagoić,to heal (once),,perf verb
zagorzały,ardent/staunt/fierce,,adjective
zagrabiać,to seize (e.g. land/property) (repeated),,verb
zagrabić,to seize (e.g. land/property) (once),,perf verb
zagroda,farm/pen,,f noun
zagrozić,to threaten (once),,perf verb
zagrożenie,threat/menace I,,n noun
zagubiony,lost,,adjective
zagęszczać,to thicken (repeated),,verb
zagęścić,to thicken (once),,perf verb
zagłuszać,to drown out (repeated),,verb
zagłuszyć,to drown out (once),,perf verb
zaimek,pronoun,,m noun
zaimek dzierżawczy,possessive pronoun,,linguistic
zaimek wskazujący,demonstrative pronoun,,linguistic
zainicjować,to initialize (once),,perf verb
zainteresowanie,interest,,n noun
zajazd,motel/inn,Nie ma zajazdu,m noun
zajmiesz (zająć),You will capture/occupy/seize,,conjugation
zajmij (zająć),Capture/occupy/seize! (once),,imperative
zajmować,to capture/occupy/seize (repeated),,verb
zajmuj (zajmować),Capture/occupy/seize! (repeated),,imperative
zajmujesz (zajmować),You are capturing/occupying/seizing,,conjugation
zajmuję (zajmować),I am capturing/occupying/seizing,,conjugation
zajmę (zająć),I will capture/occupy/seize,,conjugation
zajrzeć,to look into (once),,perf verb
zająć,to capture/occupy/seize (once),,perf verb
zajęcie,occupation/classes,Mam dużo zajęć,n noun
zajście,incident,,n noun
zajść,to go behind (once),,perf verb
zajść w ciążę,to fall pregnant,,verb
zakaz,ban,Nie ma zakazu,m noun
zakazany,banned/forbidden or seedy,,adjective
zakazać,to ban/forbid (once),,perf verb
zakazywać,to ban/forbid (repeated),,verb
zakiełkować plan/pomysł,to hatch a plan (once),,perf verb
zaklinacz węży,snake-charmer,,m noun
zaklinać,to charm (repeated),,verb
zakląć,to charm (once),,perf verb
zakląć,to swear (once),,perf verb
zaklęcie,(magic) spell,,n noun
zakopać,to bury I (once),,perf verb
zakopywać,to bury I (repeated),,verb
zakończenie,ending/conclusion,,n noun
zakpić,to mock/scoff/jeer II (once),,perf verb
zakradać się,to sneak in (repeated),,verb
zakradniesz się (zakraść się),You will sneak in,,conjugation
zakradnę się (zakraść się),I will sneak in,,conjugation
zakraść się,to sneak in (once),,perf verb
zakres,range/extent/scope,Nie ma zakresu,m noun
zakrztusić się,to choke (once),,perf verb
zakręcać,to screw/tighten (repeated),,verb
zakręcić,to screw/tighten (once),,perf verb
zakręt,bend/turn/corner,Nie ma zakrętu,m noun
zaktualizować,to update (once),,perf verb
zakład,bet,Nie ma zakładu,m noun
zakładać,"to found/establish/install, to put on clothes (repeated)",,verb
zakładnik,hostage,,m noun
zakłamany,hypocritical,,adjective
zakłopotany,embarrassed,,adjective
zakłócenie,disruption/disturbance,,n noun
zalać,to flood (once),,perf verb
zalepiać,to seal (repeated),,verb
zalepić,to seal (once),,perf verb
zaleta,virtue I,Cierpliwość to zaleta (Patience is a virtue),f noun
zalewać,to flood (repeated),,verb
zależność,dependence,,f noun
zaludniać,to populate (repeated),,verb
zaludnić,to populate (once),,perf verb
zamach,assassination attempt,,m noun
zamarzać,to freeze (repeated),,verb
zamarznąć,to freeze (once),,perf verb
zamek księcia,prince's castle,,phrase
zameldować,to report II (once),,perf verb
zamiar,intention,Nie ma zamiaru,m noun
zamiatać,to sweep (repeated),,verb
zamieciesz (zamieść),You will sweep,,conjugation
zamieniać,to exchange/swap (repeated),,verb
zamienić,to exchange/swap (once),,perf verb
zamierzać,to intend (repeated),,verb
zamierzyć,to intend (once),,perf verb
zamieszanie,confusion/mix-up,,n noun
zamieszczać,to run/publish (repeated),,verb
zamieszkanie,inhabitancy,,n noun
zamieszkać,to inhabit (once),,perf verb
zamieszkiwać,to inhabit (repeated),,verb
zamieć,snowstorm/blizzard,,f noun
zamieścić,to run/publish (once),,perf verb
zamieść,to sweep (once),,perf verb
zamilknąć,to fall silent (once),,perf verb
zamiotę (zamieść),I will sweep,,conjugation
zamożny,wealthy,,adjective
zamrażarka,freezer,,f noun
zamroczony,intoxicated,,adjective
zamyślenie,pensiveness,,n noun
zamówienia,orders,,f plural noun
zanadto,in excess/addition,,adverb
zanieczyszczenie,pollution/contamination,,n noun
zaniedbać,to neglect (once),,perf verb
zaniedbywać,to neglect (repeated),,verb
zaniepokoić,to worry (once),,perf verb
zanim,before,,conjunction
zanotować,to note/log (once),,perf verb
zanurkować,to dive (once),,perf verb
zanurzać,to dip/immerse (repeated),,verb
zanurzyć,to dip/immerse (once),,perf verb
zaopatrzony,equipped II,,adjective
zaopiekować się,to look after (once),,perf verb
zapalać,to ignite (repeated),,verb
zapalczywy,fiery/impetuous,,adjective
zapalisz (zapalić),You will ignite,,conjugation
zapalić,to ignite (once),,perf verb
zapalę (zapalić),I will ignite,,conjugation
zapamiętać,to memorise (once),,perf verb
zapamiętujesz (zapamiętywać),You are memorising,,conjugation
zapamiętuję (zapamiętywać),I am memorising,,conjugation
zapamiętywać,to memorise (repeated),,verb
zapanować,to reign/control (once),,perf verb
zaparzać,to brew (repeated),,verb
zaparzyć,to brew (once),,perf verb
zapas,reserve/stock/supply,Nie ma zapasu,m noun
zapasowy,spare/reserve/emergency,,adjective
zapał,zeal/fervour,Nie ma zapału,m noun
zapaśnik,wrestler,,m noun
zapewne,surely,,adverb
zapierać się,to brace (repeated),,verb
zapisać,to record/save (once),,perf verb
zapisywać,to record/save (repeated),,verb
zapobiec czemuś,to prevent something (once),,perf verb
zapobiegać czemuś,to prevent something (repeated),,verb
zapolować,to hunt (once),,perf verb
zapominać,to forget (repeated),,verb
zapomnieć,to forget (once),,perf verb
zaporowy,defensive,,adjective
zapowiadać,to announce II (repeated),,verb
zapowiedzieć,to announce II (once),,perf verb
zapragnąć,to desire (once),,perf verb
zaproponować,to propose (once),,perf verb
zaproszenie,invitation,,n noun
zaprzeczać,to contradict somebody/something (repeated),,verb
zaprzeczyć,to contradict somebody/something (once),,perf verb
zaprzeć się,to brace (once),,perf verb
zaprzyjaźnić się,to make friends with,,verb
zapuszczać się,to venture (repeated),,verb
zapuścić się,to venture (once),,perf verb
zapłacić,to pay (for) (once),,perf verb
zapłakany,tearful/crying,,adjective
zarabiać,to earn (money) (repeated),,verb
zarazić,to infect (once),,perf verb
zaraźliwy,contagious/infectious,,adjective
